time,G(i),H_sun,T2m,WS10m,Int
20200322:0806,447.82,31.92,27.89,2.55,0
20200322:0906,684.43,46.76,29.75,2.41,0
20200322:1006,853.22,61.49,31.35,2.41,0
20200322:1106,958.44,75.74,32.57,2.69,0
20200322:1206,873.82,83.55,33.49,3.1,0
20200322:1306,938.04,71.9,33.55,3.45,0
20200322:1406,556.77,57.43,32.78,3.45,0
20200322:1506,625.03,42.65,31.92,3.72,0
20200322:1606,285.43,27.79,31.2,3.59,0
20200322:1706,139.48,12.91,30.3,3.03,0
20200322:1806,0,0,29.27,2.34,0
20200322:1906,0,0,28.52,1.93,0
20200322:2006,0,0,27.95,1.66,0
20200322:2106,0,0,27.52,1.93,0
20200322:2206,0,0,27.18,2,0
20200322:2306,0,0,26.84,2.07,0
20200323:0006,0,0,26.58,2.14,0
20200323:0106,0,0,26.42,2.07,0
20200323:0206,0,0,26.35,2,0
20200323:0306,0,0,26.37,2.21,0
20200323:0406,0,0,26.33,2.07,0
20200323:0506,0,0,26.32,2,0
20200323:0606,2,2.26,26.28,2,0
20200323:0706,125.89,17.16,27.15,3.24,0
20200323:0806,220.28,32.05,28.41,3.86,0
20200323:0906,448.04,46.9,29.06,3.45,0
20200323:1006,378.37,61.65,30.01,3.52,0
20200323:1106,95.85,75.97,31.02,3.59,0
20200323:1206,106.84,83.89,31.98,3.1,0
20200323:1306,186.71,71.96,32.8,2.76,0
20200323:1406,95.85,57.43,33.16,2.48,0
20200323:1506,247.82,42.63,32.77,2.69,0
20200323:1606,286.37,27.77,29.21,2.14,0
20200323:1706,132.72,12.87,29.35,2.41,0
20200323:1806,0,0,28.76,2.76,0
20200323:1906,0,0,28.33,1.79,0
20200323:2006,0,0,26.92,2.48,0
20200323:2106,0,0,26.34,2.48,0
20200323:2206,0,0,26.18,2,0
20200323:2306,0,0,26.05,1.86,0
20200324:0006,0,0,26.06,2,0
20200324:0106,0,0,25.97,2,0
20200324:0206,0,0,25.89,2,0
20200324:0306,0,0,25.74,1.93,0
20200324:0406,0,0,25.63,1.93,0
20200324:0506,0,0,25.62,1.79,0
20200324:0606,2,2.39,25.57,1.79,0
20200324:0706,34.95,17.28,24.36,0.76,0
20200324:0806,59.91,32.17,24.33,0.62,0
20200324:0906,75.88,47.03,27.64,0.48,0
20200324:1006,90.86,61.81,26.27,0.97,0
20200324:1106,118.82,76.21,25.85,1.45,0
20200324:1206,128.8,84.23,25.64,1.93,0
20200324:1306,245.62,72.01,26.08,2,0
20200324:1406,244.62,57.42,26.54,3.17,0
20200324:1506,381.59,42.61,25.38,3.17,0
20200324:1606,311.65,27.74,25.24,2.28,0
20200324:1706,127.19,12.84,25.37,1.66,0
20200324:1806,0,0,25.27,1.59,0
20200324:1906,0,0,26.48,2.21,0
20200324:2006,0,0,26.31,2.14,0
20200324:2106,0,0,26.05,2.07,0
20200324:2206,0,0,25.88,1.86,0
20200324:2306,0,0,25.6,1.66,0
20200325:0006,0,0,25.38,1.72,0
20200325:0106,0,0,25.14,1.79,0
20200325:0206,0,0,24.99,1.79,0
20200325:0306,0,0,24.97,1.79,0
20200325:0406,0,0,24.77,1.72,0
20200325:0506,0,0,24.64,1.66,0
20200325:0606,4.99,2.51,24.53,1.52,0
20200325:0706,164.71,17.41,25.23,1.38,0
20200325:0806,348.98,32.3,26.81,1.72,0
20200325:0906,539.14,47.17,28.27,1.93,0
20200325:1006,739.18,61.97,29.45,1.86,0
20200325:1106,973.02,76.43,30.28,1.86,0
20200325:1206,752.41,84.56,30.97,2.28,0
20200325:1306,814.99,72.05,31.71,2.62,0
20200325:1406,594.3,57.41,31.47,2.97,0
20200325:1506,345.79,42.58,29.25,2.97,0
20200325:1606,335.81,27.7,29.12,3.1,0
20200325:1706,130.38,12.81,28.63,2.97,0
20200325:1806,0,0,27.83,2.34,0
20200325:1906,0,0,26.84,2.14,0
20200325:2006,0,0,26.34,1.72,0
20200325:2106,0,0,26.04,1.52,0
20200325:2206,0,0,25.77,1.45,0
20200325:2306,0,0,25.42,1.24,0
20200326:0006,0,0,25.19,1.03,0
20200326:0106,0,0,25.04,1.1,0
20200326:0206,0,0,24.76,1.17,0
20200326:0306,0,0,24.61,1.1,0
20200326:0406,0,0,24.44,1.1,0
20200326:0506,0,0,24.35,1.1,0
20200326:0606,4.99,2.64,24.25,1.1,0
20200326:0706,200.35,17.53,25.32,1.38,0
20200326:0806,451.41,32.42,27.2,1.72,0
20200326:0906,641.12,47.3,28.99,1.38,0
20200326:1006,852.4,62.12,30.05,1.45,0
20200326:1106,960.55,76.64,31.06,1.66,0
20200326:1206,987.68,84.88,31.63,1.66,0
20200326:1306,931.11,72.08,31.3,1.38,0
20200326:1406,783.79,57.4,31.8,1.45,0
20200326:1506,600.49,42.56,31.91,1.93,0
20200326:1606,322.97,27.67,31.11,2.41,0
20200326:1706,129.17,12.77,29.96,2.41,0
20200326:1806,0,0,28.62,2.14,0
20200326:1906,0,0,27.75,1.93,0
20200326:2006,0,0,27.01,2,0
20200326:2106,0,0,26.57,1.93,0
20200326:2206,0,0,26.16,1.79,0
20200326:2306,0,0,25.84,1.86,0
20200327:0006,0,0,25.57,2,0
20200327:0106,0,0,25.4,2.07,0
20200327:0206,0,0,25.29,2,0
20200327:0306,0,0,25.15,1.86,0
20200327:0406,0,0,25.07,1.66,0
20200327:0506,0,0,24.99,1.52,0
20200327:0606,10.35,2.76,24.89,1.38,0
20200327:0706,195.75,17.65,25.88,2,0
20200327:0806,453.02,32.55,27.05,2,0
20200327:0906,660.16,47.43,28.68,2,0
20200327:1006,712.92,62.26,30.25,2,0
20200327:1106,914.19,76.85,31.49,1.93,0
20200327:1206,692.52,85.18,33.06,1.59,0
20200327:1306,340.53,72.1,33.29,1.86,0
20200327:1406,274.62,57.38,33.3,2.14,0
20200327:1506,605.41,42.52,32.96,2.69,0
20200327:1606,383.46,27.63,31.71,3.03,0
20200327:1706,129.06,12.74,30.19,2.9,0
20200327:1806,0,0,28.74,2.55,0
20200327:1906,0,0,27.76,2.34,0
20200327:2006,0,0,26.92,2.07,0
20200327:2106,0,0,26.4,1.79,0
20200327:2206,0,0,26.01,1.72,0
20200327:2306,0,0,25.69,1.72,0
20200328:0006,0,0,25.44,1.79,0
20200328:0106,0,0,25.24,1.86,0
20200328:0206,0,0,25.05,1.79,0
20200328:0306,0,0,24.9,1.52,0
20200328:0406,0,0,24.73,1.24,0
20200328:0506,0,0,24.59,1.24,0
20200328:0606,11.35,2.88,24.49,1.38,0
20200328:0706,202.04,17.77,25.4,2.21,0
20200328:0806,459.42,32.67,26.99,2.21,0
20200328:0906,694.66,47.56,28.92,2.28,0
20200328:1006,737.36,62.4,30.77,2.14,0
20200328:1106,948.67,77.05,32.12,2.07,0
20200328:1206,941.38,85.47,33.09,2.21,0
20200328:1306,911.82,72.12,33.39,2.34,0
20200328:1406,774.69,57.36,33.39,2.62,0
20200328:1506,515.24,42.49,33.32,2.76,0
20200328:1606,380.94,27.6,31.83,3.1,0
20200328:1706,133.31,12.7,30.59,2.76,0
20200328:1806,0,0,29.25,2.34,0
20200328:1906,0,0,28.06,2.21,0
20200328:2006,0,0,27.29,2,0
20200328:2106,0,0,26.91,2,0
20200328:2206,0,0,26.53,2,0
20200328:2306,0,0,26.23,2.21,0
20200329:0006,0,0,25.91,2.28,0
20200329:0106,0,0,25.69,2.14,0
20200329:0206,0,0,25.49,1.93,0
20200329:0306,0,0,25.36,1.66,0
20200329:0406,0,0,25.15,1.38,0
20200329:0506,0,0,24.95,1.24,0
20200329:0606,12.34,3.01,24.8,1.24,0
20200329:0706,201.2,17.89,25.84,1.59,0
20200329:0806,461.02,32.79,27.78,2,0
20200329:0906,696.2,47.68,29.87,2.28,0
20200329:1006,875.69,62.54,31.64,2.55,0
20200329:1106,985.02,77.23,32.92,2.69,0
20200329:1206,805.98,85.74,33.72,2.9,0
20200329:1306,689.76,72.12,33.1,3.17,0
20200329:1406,818.51,57.33,32.18,3.45,0
20200329:1506,626.49,42.45,32.09,3.66,0
20200329:1606,373.23,27.56,30.98,3.59,0
20200329:1706,138.68,12.67,30.08,3.31,0
20200329:1806,0,0,28.9,2.55,0
20200329:1906,0,0,28.03,2.14,0
20200329:2006,0,0,27.56,2.07,0
20200329:2106,0,0,27.15,2.14,0
20200329:2206,0,0,26.86,2.28,0
20200329:2306,0,0,26.61,2.34,0
20200330:0006,0,0,26.39,2.34,0
20200330:0106,0,0,26.21,2.41,0
20200330:0206,0,0,26.03,2.48,0
20200330:0306,0,0,25.89,2.34,0
20200330:0406,0,0,25.71,2.07,0
20200330:0506,0,0,25.55,1.86,0
20200330:0606,12.36,3.13,25.44,1.86,0
20200330:0706,171.15,18.01,26.14,2.34,0
20200330:0806,416.74,32.9,27.7,2.48,0
20200330:0906,670.8,47.8,29.63,2.28,0
20200330:1006,872.3,62.67,31.48,2.28,0
20200330:1106,908.01,77.41,33,2.34,0
20200330:1206,1011.88,85.99,34.07,2.41,0
20200330:1306,952.56,72.12,34.4,2.76,0
20200330:1406,823.18,57.3,33.86,3.03,0
20200330:1506,616.69,42.41,32.38,3.38,0
20200330:1606,370.84,27.52,31.76,3.45,0
20200330:1706,128.81,12.63,30.59,3.17,0
20200330:1806,0,0,29.17,2.76,0
20200330:1906,0,0,28.04,2.69,0
20200330:2006,0,0,27.3,2.48,0
20200330:2106,0,0,26.8,2.41,0
20200330:2206,0,0,26.46,2.41,0
20200330:2306,0,0,26.2,2.34,0
20200331:0006,0,0,26.01,2.34,0
20200331:0106,0,0,25.84,2.34,0
20200331:0206,0,0,25.7,2.28,0
20200331:0306,0,0,25.64,2.14,0
20200331:0406,0,0,25.49,1.93,0
20200331:0506,0,0,25.43,1.79,0
20200331:0606,14.34,3.25,25.34,1.72,0
20200331:0706,184,18.13,26.36,2.83,0
20200331:0806,378.87,33.02,27.65,3.17,0
20200331:0906,628.03,47.92,29.28,2.83,0
20200331:1006,817.95,62.8,31.1,2.41,0
20200331:1106,825.1,77.58,32.48,2.14,0
20200331:1206,775.33,86.21,33.64,2.21,0
20200331:1306,915.63,72.1,34.2,2.48,0
20200331:1406,772.55,57.26,34.48,2.83,0
20200331:1506,576.89,42.37,32.66,2.83,0
20200331:1606,300.15,27.48,31.74,3.79,0
20200331:1706,119.06,12.59,30.36,3.59,0
20200331:1806,0,0,29.01,2.97,0
20200331:1906,0,0,28.15,2.62,0
20200331:2006,0,0,27.46,2.41,0
20200331:2106,0,0,26.98,2.14,0
20200331:2206,0,0,26.63,2,0
20200331:2306,0,0,26.38,2.14,0
20200401:0006,0,0,26.14,2.34,0
20200401:0106,0,0,26.05,2.28,0
20200401:0206,0,0,25.91,2.14,0
20200401:0306,0,0,25.72,1.93,0
20200401:0406,0,0,25.61,1.79,0
20200401:0506,0,0,25.58,1.79,0
20200401:0606,3.99,3.38,25.47,1.79,0
20200401:0706,31.95,18.25,25.81,2.28,0
20200401:0806,177.65,33.13,27.21,2.55,0
20200401:0906,355.83,48.03,27.92,2.55,0
20200401:1006,881.91,62.92,28.81,2.9,0
20200401:1106,1019.07,77.73,29.13,2.69,0
20200401:1206,345.48,86.4,30.73,2.21,0
20200401:1306,544.01,72.08,32.5,2.21,0
20200401:1406,699.57,57.22,32.88,2.83,0
20200401:1506,370.86,42.33,32.75,3.24,0
20200401:1606,404.44,27.44,31.62,3.66,0
20200401:1706,121.19,12.55,29.95,3.38,0
20200401:1806,0,0,28.63,3.17,0
20200401:1906,0,0,27.58,3.24,0
20200401:2006,0,0,27.13,2.76,0
20200401:2106,0,0,26.8,2.21,0
20200401:2206,0,0,26.6,2.14,0
20200401:2306,0,0,26.37,2.21,0
20200402:0006,0,0,26.11,2.34,0
20200402:0106,0,0,25.83,2.21,0
20200402:0206,0,0,25.77,1.93,0
20200402:0306,0,0,25.55,1.66,0
20200402:0406,0,0,25.42,1.45,0
20200402:0506,0,0,25.3,1.31,0
20200402:0606,18.94,3.5,25.21,1.31,0
20200402:0706,200.02,18.36,25.46,2,0
20200402:0806,406.73,33.24,26.93,2.55,0
20200402:0906,554.2,48.14,28.5,2.21,0
20200402:1006,866.84,63.03,30.32,2.14,0
20200402:1106,781.79,77.88,31.79,2.34,0
20200402:1206,1024.37,86.55,33.05,2.69,0
20200402:1306,954.24,72.06,33.53,2.97,0
20200402:1406,756.54,57.18,33.48,3.24,0
20200402:1506,570.17,42.28,32.88,3.38,0
20200402:1606,315.56,27.39,31.8,3.31,0
20200402:1706,144.97,12.52,30.42,3.17,0
20200402:1806,0,0,29.01,2.62,0
20200402:1906,0,0,27.95,2.21,0
20200402:2006,0,0,27.27,2.07,0
20200402:2106,0,0,26.81,1.86,0
20200402:2206,0,0,26.46,1.79,0
20200402:2306,0,0,26.11,1.79,0
20200403:0006,0,0,25.81,1.79,0
20200403:0106,0,0,25.57,1.79,0
20200403:0206,0,0,25.36,1.72,0
20200403:0306,0,0,25.19,1.72,0
20200403:0406,0,0,25.08,1.72,0
20200403:0506,0,0,25,1.72,0
20200403:0606,18.64,3.62,24.96,1.72,0
20200403:0706,147.04,18.47,26.44,2.55,0
20200403:0806,455.7,33.35,28.17,2.48,0
20200403:0906,708.25,48.25,29.96,2.48,0
20200403:1006,873.17,63.14,31.34,2.55,0
20200403:1106,981.45,78.01,32.93,2.69,0
20200403:1206,1014.86,86.67,33.9,2.9,0
20200403:1306,996.06,72.02,33.72,3.1,0
20200403:1406,825.6,57.13,33.99,3.38,0
20200403:1506,641.23,42.24,33.06,3.38,0
20200403:1606,395.29,27.35,32.15,3.52,0
20200403:1706,143.72,12.48,30.87,3.38,0
20200403:1806,0,0,29.37,3.17,0
20200403:1906,0,0,27.98,2.76,0
20200403:2006,0,0,27.35,2.55,0
20200403:2106,0,0,26.96,2.34,0
20200403:2206,0,0,26.72,2.48,0
20200403:2306,0,0,26.53,2.55,0
20200404:0006,0,0,26.32,2.55,0
20200404:0106,0,0,26.22,2.28,0
20200404:0206,0,0,26.08,2.48,0
20200404:0306,0,0,25.98,2.34,0
20200404:0406,0,0,25.99,2.21,0
20200404:0506,0,0,25.92,2.07,0
20200404:0606,3.99,3.74,25.8,1.86,0
20200404:0706,44.93,18.59,26.68,2.28,0
20200404:0806,43.93,33.46,27.77,2.83,0
20200404:0906,68.89,48.35,29.71,3.38,0
20200404:1006,299.51,63.24,31.11,3.24,0
20200404:1106,361.42,78.13,32.42,3.17,0
20200404:1206,177.73,86.74,33.19,3.03,0
20200404:1306,118.82,71.97,32.16,3.1,0
20200404:1406,189.71,57.08,30.91,3.17,0
20200404:1506,349.43,42.19,30.12,3.31,0
20200404:1606,238.92,27.3,30.22,3.66,0
20200404:1706,104.03,12.44,29.59,3.45,0
20200404:1806,0,0,28.66,3.59,0
20200404:1906,0,0,27.23,2.9,0
20200404:2006,0,0,26.95,2.62,0
20200404:2106,0,0,26.56,2.41,0
20200404:2206,0,0,26.42,1.72,0
20200404:2306,0,0,26.14,1.1,0
20200405:0006,0,0,25.87,1.1,0
20200405:0106,0,0,25.61,1.17,0
20200405:0206,0,0,25.54,1.17,0
20200405:0306,0,0,25.24,1.1,0
20200405:0406,0,0,25.03,0.97,0
20200405:0506,0,0,25.01,0.76,0
20200405:0606,23.17,3.86,24.8,0.9,0
20200405:0706,230.1,18.7,25.46,0.62,0
20200405:0806,481.84,33.56,27.36,0.76,0
20200405:0906,709.34,48.45,29.73,0.76,0
20200405:1006,900.43,63.34,31.95,1.03,0
20200405:1106,1016.93,78.24,33.75,1.38,0
20200405:1206,1034.75,86.77,35,1.66,0
20200405:1306,992.97,71.92,35.69,1.86,0
20200405:1406,849.04,57.03,35.82,2.28,0
20200405:1506,640.38,42.14,34.96,3.03,0
20200405:1606,391.51,27.26,33.31,3.66,0
20200405:1706,140.17,12.4,31.09,3.66,0
20200405:1806,0,0,29.19,3.17,0
20200405:1906,0,0,28.21,2.83,0
20200405:2006,0,0,27.62,2.55,0
20200405:2106,0,0,27.25,2.14,0
20200405:2206,0,0,26.99,2,0
20200405:2306,0,0,26.77,2.21,0
20200406:0006,0,0,26.63,2.21,0
20200406:0106,0,0,26.57,2.21,0
20200406:0206,0,0,26.42,2.07,0
20200406:0306,0,0,26.38,1.79,0
20200406:0406,0,0,26.3,1.72,0
20200406:0506,0,0,26.24,1.66,0
20200406:0606,21.95,3.97,26.13,1.66,0
20200406:0706,226.52,18.8,27.12,3.03,0
20200406:0806,400.36,33.67,28.6,3.38,0
20200406:0906,516.77,48.55,29.82,3.31,0
20200406:1006,294.53,63.44,31.17,3.17,0
20200406:1106,334.47,78.33,32.27,3.03,0
20200406:1206,336.48,86.75,32.24,2.83,0
20200406:1306,886.94,71.86,32.15,2.76,0
20200406:1406,631.08,56.97,32.43,2.83,0
20200406:1506,520.69,42.08,31.98,2.9,0
20200406:1606,147.83,27.21,30.59,2.9,0
20200406:1706,82.28,12.36,29.69,3.1,0
20200406:1806,0,0,28.75,2.83,0
20200406:1906,0,0,26.73,2.48,0
20200406:2006,0,0,26.6,1.79,0
20200406:2106,0,0,26.54,1.45,0
20200406:2206,0,0,26.31,1.24,0
20200406:2306,0,0,26.3,1.31,0
20200407:0006,0,0,26.17,1.31,0
20200407:0106,0,0,26.22,1.45,0
20200407:0206,0,0,26.12,1.52,0
20200407:0306,0,0,25.96,1.52,0
20200407:0406,0,0,25.92,1.52,0
20200407:0506,0,0,25.88,1.38,0
20200407:0606,24.21,4.09,25.93,1.24,0
20200407:0706,193.58,18.91,25.92,1.24,0
20200407:0806,465.68,33.76,27.54,2.07,0
20200407:0906,704.68,48.64,28.97,1.93,0
20200407:1006,871.33,63.52,30.97,2.28,0
20200407:1106,997.16,78.41,32.63,2.62,0
20200407:1206,1024.74,86.69,33.57,2.9,0
20200407:1306,987.88,71.8,34,3.03,0
20200407:1406,838.94,56.91,34.02,3.24,0
20200407:1506,636.42,42.03,33.38,3.38,0
20200407:1606,387.75,27.16,32.4,3.38,0
20200407:1706,143.08,12.32,31.07,3.03,0
20200407:1806,0,0,29.65,2.48,0
20200407:1906,0,0,28.24,2.34,0
20200407:2006,0,0,27.54,2.07,0
20200407:2106,0,0,27.05,2,0
20200407:2206,0,0,26.65,1.79,0
20200407:2306,0,0,26.29,1.79,0
20200408:0006,0,0,26,1.86,0
20200408:0106,0,0,25.79,2,0
20200408:0206,0,0,25.66,2,0
20200408:0306,0,0,25.59,1.93,0
20200408:0406,0,0,25.54,1.86,0
20200408:0506,0,0,25.5,1.86,0
20200408:0606,20.69,4.2,25.53,1.93,0
20200408:0706,185.59,19.02,26.68,1.59,0
20200408:0806,403.82,33.86,28.43,2.83,0
20200408:0906,608.43,48.73,30.09,2.9,0
20200408:1006,835.98,63.6,31.46,2.69,0
20200408:1106,884.66,78.48,32.7,2.62,0
20200408:1206,897.07,86.59,33.67,2.83,0
20200408:1306,810.77,71.73,33.56,3.1,0
20200408:1406,471.05,56.85,33.05,3.24,0
20200408:1506,636.01,41.97,31.7,3.03,0
20200408:1606,374.91,27.12,31.67,2.97,0
20200408:1706,134.39,12.28,30.86,2.9,0
20200408:1806,0,0,29.67,2.55,0
20200408:1906,0,0,28.59,2.34,0
20200408:2006,0,0,27.96,2.34,0
20200408:2106,0,0,27.48,2.28,0
20200408:2206,0,0,27.21,2.21,0
20200408:2306,0,0,27.02,2.07,0
20200409:0006,0,0,26.73,1.86,0
20200409:0106,0,0,26.47,1.79,0
20200409:0206,0,0,26.26,1.79,0
20200409:0306,0,0,26.08,1.72,0
20200409:0406,0,0,25.87,1.59,0
20200409:0506,0,0,25.73,1.38,0
20200409:0606,24.92,4.32,25.65,1.24,0
20200409:0706,236.5,19.12,26.84,1.59,0
20200409:0806,484.31,33.95,28.48,2.28,0
20200409:0906,639.52,48.81,30.19,2.34,0
20200409:1006,764.01,63.68,31.36,2.55,0
20200409:1106,828.29,78.54,32.91,2.76,0
20200409:1206,935.44,86.45,33.61,2.83,0
20200409:1306,646.8,71.65,34,2.9,0
20200409:1406,800.57,56.78,33.87,3.03,0
20200409:1506,629.43,41.92,31.04,2.69,0
20200409:1606,387.09,27.07,31.27,3.03,0
20200409:1706,138.51,12.25,30.75,3.24,0
20200409:1806,0,0,29.65,2.9,0
20200409:1906,0,0,28.63,2.83,0
20200409:2006,0,0,28.09,2.28,0
20200409:2106,0,0,27.62,1.59,0
20200409:2206,0,0,27.3,1.17,0
20200409:2306,0,0,26.99,1.03,0
20200410:0006,0,0,26.83,1.03,0
20200410:0106,0,0,26.58,1.17,0
20200410:0206,0,0,26.27,1.17,0
20200410:0306,0,0,26.02,1.31,0
20200410:0406,0,0,25.84,1.31,0
20200410:0506,0,0,25.8,1.31,0
20200410:0606,20.35,4.43,25.78,1.24,0
20200410:0706,207.55,19.22,26.42,1.31,0
20200410:0806,472.06,34.04,27.46,1.79,0
20200410:0906,683.55,48.89,29.29,2.07,0
20200410:1006,620.73,63.74,30.82,2.07,0
20200410:1106,212.67,78.58,32.35,1.79,0
20200410:1206,151.77,86.28,33.57,1.45,0
20200410:1306,130.8,71.56,33.21,1.1,0
20200410:1406,450.84,56.71,33.98,1.17,0
20200410:1506,442.31,41.86,33.61,1.31,0
20200410:1606,204.14,27.02,32.52,1.66,0
20200410:1706,140.49,12.21,29.98,2.28,0
20200410:1806,0,0,28.54,2,0
20200410:1906,0,0,28.17,1.86,0
20200410:2006,0,0,27.82,1.45,0
20200410:2106,0,0,27.54,1.24,0
20200410:2206,0,0,27.11,1.17,0
20200410:2306,0,0,26.77,1.17,0
20200411:0006,0,0,26.35,1.38,0
20200411:0106,0,0,26.11,1.38,0
20200411:0206,0,0,25.91,1.66,0
20200411:0306,0,0,25.75,1.38,0
20200411:0406,0,0,25.61,1.17,0
20200411:0506,0,0,25.48,1.1,0
20200411:0606,28.75,4.54,24.58,1.17,0
20200411:0706,220.33,19.32,26.04,0.41,0
20200411:0806,427.24,34.13,28.19,0.9,0
20200411:0906,608.62,48.97,29.11,0.69,0
20200411:1006,742.07,63.81,30.41,1.1,0
20200411:1106,870.81,78.61,31.49,1.59,0
20200411:1206,773.91,86.08,32.4,1.86,0
20200411:1306,662.57,71.47,33.24,2.28,0
20200411:1406,754.3,56.64,31.63,2.41,0
20200411:1506,211.69,41.8,28.4,2.07,0
20200411:1606,232.44,26.97,28.4,1.72,0
20200411:1706,120.33,12.17,28.74,2,0
20200411:1806,0,0,28.34,1.66,0
20200411:1906,0,0,28.38,2.07,0
20200411:2006,0,0,27.97,1.93,0
20200411:2106,0,0,27.65,1.72,0
20200411:2206,0,0,27.4,1.86,0
20200411:2306,0,0,27.08,1.79,0
20200412:0006,0,0,26.82,1.72,0
20200412:0106,0,0,26.66,1.59,0
20200412:0206,0,0,26.36,1.59,0
20200412:0306,0,0,26.17,1.66,0
20200412:0406,0,0,26,1.59,0
20200412:0506,0,0,25.96,1.59,0
20200412:0606,22.33,4.64,25.82,1.52,0
20200412:0706,230.5,19.41,26.96,2,0
20200412:0806,466.21,34.22,28.22,1.86,0
20200412:0906,617.86,49.04,29.52,1.79,0
20200412:1006,762.1,63.86,30.79,1.72,0
20200412:1106,809.73,78.63,31.75,1.66,0
20200412:1206,856.01,85.86,32.39,1.45,0
20200412:1306,837.52,71.38,32.46,1.24,0
20200412:1406,798.25,56.57,32.95,1.45,0
20200412:1506,609.85,41.74,32.43,1.79,0
20200412:1606,37.94,26.93,30.55,1.86,0
20200412:1706,54.95,12.14,29.85,2.55,0
20200412:1806,0,0,29,2.28,0
20200412:1906,0,0,28.37,2.14,0
20200412:2006,0,0,27.79,2.21,0
20200412:2106,0,0,27.46,2.14,0
20200412:2206,0,0,27.19,2.07,0
20200412:2306,0,0,26.96,2.14,0
20200413:0006,0,0,26.77,2.21,0
20200413:0106,0,0,26.59,2.21,0
20200413:0206,0,0,26.54,2.14,0
20200413:0306,0,0,26.39,1.93,0
20200413:0406,0,0,26.31,1.72,0
20200413:0506,0,0,26.14,1.52,0
20200413:0606,29.78,4.75,26.07,1.38,0
20200413:0706,247.84,19.5,27.21,2.48,0
20200413:0806,463.22,34.3,28.52,2.48,0
20200413:0906,609.06,49.11,29.68,2.14,0
20200413:1006,654.38,63.91,31.1,1.93,0
20200413:1106,676.81,78.63,31.97,1.93,0
20200413:1206,804.19,85.62,32.59,2,0
20200413:1306,732.26,71.28,32.62,2.14,0
20200413:1406,746.51,56.49,32.79,2.41,0
20200413:1506,389.35,41.68,32.17,2.62,0
20200413:1606,255.67,26.88,30.4,2.28,0
20200413:1706,129.48,12.1,29.73,2.34,0
20200413:1806,0,0,29.13,2.14,0
20200413:1906,0,0,28.65,2.34,0
20200413:2006,0,0,27.97,2.34,0
20200413:2106,0,0,27.53,2.28,0
20200413:2206,0,0,27.19,2.07,0
20200413:2306,0,0,27.01,1.86,0
20200414:0006,0,0,26.74,1.72,0
20200414:0106,0,0,26.59,1.59,0
20200414:0206,0,0,26.32,1.45,0
20200414:0306,0,0,26.28,1.31,0
20200414:0406,0,0,26.25,1.24,0
20200414:0506,0,0,26.18,1.31,0
20200414:0606,28.57,4.85,26.38,1.38,0
20200414:0706,227.14,19.6,27.32,2.28,0
20200414:0806,433.14,34.37,28.74,2.34,0
20200414:0906,532.94,49.17,30.05,2.14,0
20200414:1006,728.71,63.96,31.19,2.14,0
20200414:1106,803.31,78.62,32.25,2.07,0
20200414:1206,848.46,85.37,33.24,2.28,0
20200414:1306,767.99,71.17,33.61,2.55,0
20200414:1406,790.35,56.42,32.62,2.76,0
20200414:1506,197.71,41.62,32.16,2.83,0
20200414:1606,41.94,26.83,30.76,2.69,0
20200414:1706,64.99,12.07,30.15,2.83,0
20200414:1806,0,0,29.34,2.21,0
20200414:1906,0,0,28.56,2.07,0
20200414:2006,0,0,27.92,1.86,0
20200414:2106,0,0,27.48,1.79,0
20200414:2206,0,0,27.17,1.79,0
20200414:2306,0,0,26.95,1.72,0
20200415:0006,0,0,26.67,1.66,0
20200415:0106,0,0,26.48,1.59,0
20200415:0206,0,0,26.31,1.52,0
20200415:0306,0,0,26.17,1.45,0
20200415:0406,0,0,26.06,1.45,0
20200415:0506,0,0,26,1.38,0
20200415:0606,25.67,4.96,25.89,1.24,0
20200415:0706,217.58,19.68,27.22,2.07,0
20200415:0806,384.38,34.45,28.91,2.07,0
20200415:0906,475.26,49.23,30.46,1.93,0
20200415:1006,568.34,63.99,31.99,1.93,0
20200415:1106,538.31,78.6,33.28,2,0
20200415:1206,586.54,85.1,33.81,2.07,0
20200415:1306,738.8,71.06,33.67,2.34,0
20200415:1406,211.67,56.34,32.07,2.55,0
20200415:1506,57.91,41.56,31.8,2.9,0
20200415:1606,201,26.78,30.87,2.69,0
20200415:1706,92.27,12.04,30.1,2.62,0
20200415:1806,0,0,29.25,2.28,0
20200415:1906,0,0,28.9,2.41,0
20200415:2006,0,0,28.28,2.41,0
20200415:2106,0,0,27.92,2.21,0
20200415:2206,0,0,27.63,1.93,0
20200415:2306,0,0,27.37,1.93,0
20200416:0006,0,0,27.19,2.07,0
20200416:0106,0,0,26.99,2,0
20200416:0206,0,0,26.8,1.86,0
20200416:0306,0,0,26.65,1.79,0
20200416:0406,0,0,26.54,1.72,0
20200416:0506,0,0,26.49,1.72,0
20200416:0606,29.26,5.05,26.47,1.59,0
20200416:0706,228.63,19.77,27.33,2.9,0
20200416:0806,465.2,34.52,28.99,2.9,0
20200416:0906,686.14,49.28,30.49,2.69,0
20200416:1006,869.17,64.02,32.36,2.55,0
20200416:1106,868.09,78.56,33.61,1.93,0
20200416:1206,807.38,84.83,34.78,1.66,0
20200416:1306,875.9,70.95,35.58,1.59,0
20200416:1406,664.16,56.26,35.54,1.86,0
20200416:1506,69.89,41.5,33.93,2.76,0
20200416:1606,49.92,26.74,32.19,3.38,0
20200416:1706,89.18,12,31.09,3.31,0
